Grade,Topic,Sub-topic,Challenge Type,Problem,Student Mistake Prompt
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume of a cylinder,Calculate the volume of a cylinder with radius 4 cm and height 8 cm. Use π = 3.14,< 20.96 units³>
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Area,Calculate the area of a semicircle with radius 7 cm.,Rounding the radius instead of using it precisely.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Area,Calculate the area of a triangle with base 5 units and height 4 units.,<student's mistake>
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume Calculation,What is the volume of a sphere with radius 4 cm?,Student assumes volume is 4/3*4 instead of 4/3*π*4^3.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Geometry - Volume of Composite Figures,Find the volume of a shape composed of a cube (3x3x3) with a hemisphere on top.,Forgetting to separately calculate the volume of the sphere and the cube.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Surface Area of a Rectangular Prism,"Calculate the surface area of a prism with dimensions: 4cm, 5cm, and 3cm.",<b>
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume Calculation,Calculate the volume of a cube with side length 5 cm.,5 x 5 x 5 is 125 cm instead of 125 cm³.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Area Calculation,Determine the area of a rectangle with width 5 cm and length 1.5 m.,Assuming both dimensions are in the same unit without converting.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume - Composite Shapes,Find the volume of a complex shape composed of a cube and a rectangular prism.,Assuming the properties or measurements of individual shapes can apply to the composite.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Area of irregular shapes,Calculate the area of a shape made by attaching a semicircle to a rectangle with dimensions 4m by 2m.,Thinking the shape is a composite rectangle and ignoring the curved part.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume,"If a cylinder has a radius of 4 cm and height of 3 cm, what is the volume?",Using the radius as the diameter in the formula.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Geometry: Volume,Find the volume of a cylinder with radius 2m and height 5m.,<b>Student's Mistake</b>: Using incorrect units in the answer without specifying.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume Calculation,Find the volume of a cube with side 5 cm.,5^3 = 125 cm
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Area of a Rectangle,A rectangle has a length of 5 cm and a width of 3 cm. Find the area.,<i>
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Area,Find the area of a rectangle with length 5 cm and width 3 cm.,Misusing the numbers and calculating area as 53 cm^2.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume problem,Calculate the volume of a cylinder with radius 5 cm and height 10 cm.,<i>The student forgets to divide the height by 3 when finding the volume of a cone.</i>
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Area of composite shapes,Calculate the area of a shape made of a square and an equilateral triangle sharing a side.,Adding square and triangle areas instead of considering overlap.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume of composite shapes,Find the volume of a shape composed of a cube with side 2 cm and a hemisphere on top.,Thinking the hemisphere is a full sphere.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume Calculation,What is the volume of a cylinder with radius 3 cm and height 5 cm?,Student forgot to square the radius.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Calculation,Find the volume of a cone with radius 4 cm and height 9 cm.,***
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume Calculation,Calculate the volume of a cylinder with radius 2 cm and height 5 cm.,Mistakenly using the circumference formula for volume.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Surface Area,Find the surface area of a cube with side 3 cm.,${SA = 4 cdot 3}$
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume Calculation,Calculate the volume of a cylinder with radius 4 cm and height 5 cm.,Adding the radius and height as 9 cm instead of using them separately.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume of Composite Shapes,Calculate the volume of a shape composed of a cylinder and a cone.,Adding volumes of cylinder and cone instead of combining them.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Area of a Composite Figure,Calculate the total area of a shape made of rectangles and semicircles.,Adding areas of rectangles and semicircles without subtracting overlapping areas.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume of a Composite Shape,Calculate the volume of a composite shape composed of a cylinder and a cone.,Student forgets to add the volumes of both shapes.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume of a Composite 3D Shape,Find the volume of a shape composed of a cylinder and a cone.,Assuming the volume is just the sum of cylinder and cone volumes without adjusting for overlap or empty space.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Calculation Error,Find the volume of a cylinder with radius 3 cm and height 5 cm.,π is approximated as 3.14 instead of using more accurate value leading to an inaccurate calculation.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume Calculation,Find the volume of a cube with side 5 cm.,5 cm + 5 cm + 5 cm = 15 cm
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume Calculation,A cone has a radius of 4 cm and a height of 9 cm. Find its volume.,Assuming the height is the slant height.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Surface Area,Calculate the surface area of a cube with side 5 cm.,The student uses 5 cm instead of 5 cm^2 for the area calculation.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Surface Area Mistake,Find the total surface area of a cube with side 4 cm.,Adding the areas instead of multiplying.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Surface Area of Composite Figures,Calculate the surface area of a shape composed of a cylinder and a rectangular prism.,Assuming the cylinder and prism share no faces and adding their surface areas separately.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Area,Calculate the area of a rectangle with length 5 cm and width 1.5 m.,Converting all units to the same before calculation.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Surface Area,Calculate the surface area of a composite object made of a cube and a rectangular prism.,Adding the areas instead of finding the combined surface area.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Geometry - Surface Area,"Calculate the surface area of a closed rectangular box with length 5m, width 3m, and height 2m.",<student's mistake>
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Calculation,Calculate the volume of a cylinder with radius 3 cm and height 5 cm.,"<br> instead of using π, they use 3.14 only, leading to an inaccurate calculation.>"
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Area,What is the area of a rectangle with length 6cm and width 3cm?,Calculating area as 6+3 instead of 6*3.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Area Calculation,Find the area of a rectangle with length 5cm and width 3cm.,Adding instead of multiplying: 5 + 3 = 8cm^2
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Calculation,Calculate the volume of a cube with side length 5 units.,<0.5 * 5^3>
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume Calculation,Calculate the volume of a cube with side 3 cm.,Misunderstanding that Volume is in cubic units not square units.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume of Rectangular Prism,"Calculate the volume of a rectangular prism with length 5 cm, width 2 cm, and height 3 cm.",<student's mistake>
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Area of Composite Shapes,Calculate the area of a shape formed by combining a square and a semicircle.,Assuming the semicircle's diameter is the side of the square.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Area of composite figures,Calculate the total area of a figure consisting of a rectangle and a semicircle.,Mixing up the formulas for rectangle and semicircle.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Area Calculation,Find the area of a composite shape: a square of side 4 cm with a semicircle on top.,"Adding the wrong areas together, or not considering overlap."
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Surface Area,Calculate the surface area of a composite figure made of a cube and a square pyramid sharing a base.,Forgetting to include the area of the base where the cube and pyramid meet.
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Area of a rectangle,Calculate the area of a rectangle with length 5 cm and width 3 cm.,<student confuses length with width>
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume of a Cube,What is the volume of a cube with side length 3 cm?,Student multiplies 3 by 3 to get 6 instead of 9.
K6,Geometry,"Calculating area, surface area, and volume of various shapes","Area, Surface Area, Volume Challenge",Find the volume of a cylinder with radius 3 cm and height 6 cm.,<br>
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Volume of a prism,"Calculate the volume of a rectangular prism with length 5 cm, width 3 cm, and height 2 cm.",Student: 5 * 3 + 2 = 17 cm³
K6,Geometry,"Calculating area, surface area, and volume of various shapes",Area of combined shapes,Find the area of the rectangle with a semi-circle on top.,Student adds the areas of the rectangle and semi-circle without adjusting for overlap.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometric Misconception,Estimate the area of the irregular shape in terms of squares.,Count the squares near the edge as half or not at all.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry Area and Perimeter,Estimate the area of the irregular shape using square counting method.,Mistaking boundary squares for interior ones.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,Find the area of the irregular shape using square units.,The student counts 1/2 or overlapping squares.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Counting Squares in Geometry,"If each square is 1 cm^2, calculate the area and perimeter of the given shape.",Mistaking non-boundary squares as part of the perimeter or area.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Conceptual,Determine the area of the shape using grid squares.,Counting squares partially outside the shape as part of the area.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometric Reasoning,Estimate the area of an irregular shape using squares and find the perimeter.,Dividing shapes incorrectly leads to wrong estimates.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area and Perimeter - Counting Squares,Count the number of squares covering the area of the shape.,Assuming each square is 1 unit and can represent a fixed area size.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Perimeter Calculation,Find the perimeter of the irregular shape: a combination of a square and a triangle.,"Student assumes all sides are equal, leading to an incorrect perimeter."
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area and Perimeter Calculations,Estimate the total area of an irregular shape using square-counting method.,Confusing overlapping squares as valid areas.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Conceptual,Find the perimeter of a L-shaped room using squares.,Counting squares both vertically and horizontally as perimeter sides.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Conceptual,Count the grid squares for a curved shape to find area.,Ignoring grid boundaries when counting.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,Calculate the perimeter of the given irregular shape measured in cm.,<student's mistake>
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,Estimate the area of the given irregular shape using squares.,Mistakenly counting a square with half its area as a whole one.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area Calculation,Calculate the area of the irregular shape composed of squares.,Student counts the number of squares but forgets to multiply by the size of each square to get the area.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Perimeter - Counting Squares,Estimate the perimeter of the irregular shape below using squares.,Student counts the perimeter along diagonals of squares.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Misconception,Does a larger perimeter always mean a larger area?,Student may think perimeter and area are always proportional.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Procedural Error,Count the total squares for area and perimeter.,Mixing up count for both purposes.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Irregular Shape Understanding,Estimate the area of a complex shape made up of squares and triangles.,Treating squares as whole areas without adjusting for partial coverage.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area and Perimeter Calculations,Estimate the area and perimeter of the shaded region using counting squares.,Overestimating precision due to square dimension.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,Calculate the area of a complex shape using squares as reference units.,Thinking a larger area necessarily means a smaller perimeter.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Perimeter of Irregular Shape,Find the perimeter of the shape using the grid: (7x3 rectangle) + (1 unit) + (2 units).,Student assumes each unit has a standard measurement.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Procedural,Calculate the perimeter of the shape.,Mixing units as they move around the shape.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Perimeter of Irregular Shape,Calculate the perimeter of the irregular shape using a grid.,Mistakenly counting all 4 sides even if some are not part of the perimeter.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Conceptual,Is area counting squares on graph paper different from perimeter?,Student may confuse the two concepts.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Misconception,Estimate the area of a cloud-shaped field using grid squares.,Assuming partial squares count the same as full squares.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Procedural,Find the area of the irregular shape: Counting squares on grid paper.,Student miscounts the squares and multiplies the wrong number.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Conceptual,Find the total area of the shaded region including squares partially covered.,Counting all partially covered squares as full squares.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Conceptual,Find area of the irregular shape below.,#N/A
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,Calculate the area of the enclosed irregular shape using grid squares.,Ignoring half or partially covered squares.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,How many squares to accurately estimate the area and perimeter of a wavy shape?,The student overlooks partial squares and miscounts total.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area and Perimeter of Irregular Shapes,Estimate the area of this irregular shape using square count.,Assuming all squares contribute to area equally.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Perimeter of Irregular Shape,Calculate the perimeter of the shape using squares with side length of 1 unit.,Student assumes each square is 1 unit in area but not part of the shape perimeter.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,"If the area of an irregular shape is given as 28 sq units, and the perimeter is 26 units, find the dimensions.",Student assumes the shape is a rectangle. 
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area and Perimeter Confusion,Estimate the perimeter of the outlined shape using squares resembling a grid.,Thinking the number of squares directly translates to the perimeter without considering scale or actual distances.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area Calculation,Calculate the area of a complex shape composed of squares and triangles.,Mixing area calculation methods for different shapes within the complex shape.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area and Perimeter of Irregular Shapes,Approximate the area of a complex figure using squares.,Miscounting squares due to overlapping or unclear boundaries.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Conceptual,Calculate the area of the cross.,# Misinterpreting the shape boundaries.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,"For the irregular shape, what is the total area if each square is 1 unit?",#ERROR -123 is a bonus of 21% so 456 is correct. Campaign will bring 456 followers.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Procedural,Count the squares for area and perimeter of an irregular shape made of squares.,# Counting squares shared by area and perimeter
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,Estimate the area of an irregular shape on a grid using 1x1 squares.,Counting fractional squares as whole squares.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area and Perimeter of Irregular Shapes,Calculate the area of an irregular shape using the square counting method.,Ignoring fractional parts of squares in the count.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Misconception,What is the area of an L-shaped figure made of squares with sides 1 unit long?,The area is only the number of whole squares without counting fractional squares.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area and Perimeter of Irregular Shapes,"Estimate the area of the irregular shape by counting squares, where each square is 1 square unit.",Assuming each square is part of the shape or outside areas equally.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Conceptual Error,Estimate the area of the irregular shape using square counting.,Student assumes each square has both sides within the shape which is not always true.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area Perimeter Confusion,Estimate area and perimeter of irregular shape.,Student adds squares for area and boundaries for perimeter.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,What is the area of this irregular shape?,Student struggles to divide the shape into simpler components to find the total area.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,"For the given irregular shape, find the perimeter and area.",Misaligning squares when counting to determine the total area.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area vs. Perimeter,Are area and perimeter conceptually similar in irregular shapes?,Student confuses the two measurements and calculates the wrong value.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Conceptual,Assume a square in a grid is part of a shape's perimeter. Find the perimeter.,Not adjusting perimeter calculation to exclude the grid square.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Procedural,Find the area of the irregular shape using squares,Counting squares partially filled as half squares
K3,Geometry,area and perimeter of irregular shapes by counting squares,Complex Irregular Shape,"In a complex shape, calculate the area of overlapping sections.",Ignoring the overlapping areas and only calculating the total area.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Perimeter Calculation,Find the perimeter of this irregular shape: Counting squares around the shape.,Student may incorrectly include squares partially inside the shape.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Irregular Shape Measurement,"Given a shaded area with parts outside, find total area and perimeter.",Counting squares fully as part of the area.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area of Overlapping Shapes,Find the total area of the overlapping circles with a unit grid system.,Ignoring the sub-grid squares when counting for partial areas.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area of Complex Shape,Find the area of the complex shape composed of squares and triangles.,Student counts only squares area and ignores triangles.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Procedural,Find the area of the shaded region.,Assuming the shaded region is a rectangle.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Conceptual,Estimate the area of the irregular shape [image provided].,#DIV/0!
K3,Geometry,area and perimeter of irregular shapes by counting squares,Procedural Error,Count the squares to approximate the area of the shape: A freehand drawn cloud.,Evenly organizing squares over irregular parts for the count.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometric Deduction,"Using squares, find the area and perimeter of a complex shape.",Student assumes uniform squares without considering partial areas or overlapping counts.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,"In a complex figure, find the total area of overlapping shapes.",Assuming one shape completely covers another without adjusting calculations.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area/Perimeter of Irregular Shapes,Estimate the area by counting squares of a jagged shape on graph paper.,Using wrongly placed squares to calculate the area.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,"If a square's side is increased by 50%, how does its area change?",Not squaring the scale factor to find the new area.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Visual-Spatial Misinterpretation,Estimate the area of the irregular shape in unit squares.,Overcounting due to smaller squares within the shape.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area and Perimeter Calculation,Calculate the area of an L-shaped figure formed by two perpendicular rectangles using squares as a reference.,Student might overcount squares due to the irregular shape.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Conceptual,Determine if the area or perimeter is more important for fencing purposes.,Student confuses the concept of area with that of perimeter.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Problem-Solving,Estimate the area of an irregular shape using square counting.,Focusing only on whole squares instead of partial ones.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,Determine the area of a shape using squares of different sizes.,# Error: Unable to parse non-standard inputs.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Perimeter Calculation,Estimate the perimeter of an irregular shape surrounded by a red line on graph paper.,Student counts perimeters of all squares as part of the shape perimeter.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Irrational Counting,Count the number of squares in this shape with diagonals.,Counting the squares intersected by the diagonal as full squares.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry: Area and Perimeter,Estimate the area of the irregular shape by counting squares.,Student includes squares only partially covering the shape.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area and Perimeter of Irregular Shapes,Estimate the area by counting squares inside the shape.,Student assumes each square unit contributes equally to the area.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Measurement of Irregular Shapes,Estimate the area of the figure below using a grid.,Assuming all grid squares add area even if partially covered.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,Count the number of squares enclosed by the region for an approximate area value.,Miscounting squares at the boundary as part of the region.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Procedural,Calculate the area of the shape by counting squares.,Student counts overlapping squares multiple times.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Error Analysis,What assumptions did you make while finding the area of an irregular shape?,Student assumes all angles are right angles and sides are straight.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,Find the perimeter of a shape made of 6 squares on one side and 4 on the other.,Mixing up adjacent squares as continuous side lengths.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Perimeter and Area of Irregular Shapes,Calculate the area and perimeter of an irregular shape by using a grid.,Failing to count areas split by the boundary fully.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,"In a grid with an irregular shape, count the squares to estimate area and perimeter.",Ignoring diagonal squares that cross half of a grid square.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Conceptual,Determine if irregular shape A can contain more water than shape B.,#DIV/0! Error occurred during calculation.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Counting Unit Squares,Find the area of the irregular shape using squares.,The shape can't be perfectly filled by squares.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,Estimate the area of this irregular shape using squares.,Counting superimposed squares more than once.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Conceptual,Determine if two shapes are congruent.,Assuming they are congruent if the areas are equal.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Conceptual,Calculate the total area of the shape.,Counting partial squares at the edges as full squares.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area and Perimeter - Counting Squares,Calculate the total area by overlapping squares.,Assuming all squares contribute to the total area.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Perimeter Calculation,Find the perimeter of a randomly outlined shape using squares as units.,Assuming each square side is a unit length.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,A rectangle has one side with 100% accuracy and the length slightly off. What's the area and perimeter?,#ERROR!
K3,Geometry,area and perimeter of irregular shapes by counting squares,Perimeter Calculation,Find the perimeter of a shape composed of multiple squares.,Student assumes all sides are equal and adds them up.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,"Find the area of the irregular shape composed of squares: 2, 3, and 4 units.",Dividing irregular shapes incorrectly.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area and Perimeter of Irregular Shapes,Estimate the area and perimeter counting squares for the L-shaped figure using grid paper.,"Student assumes each grid square contributes to the shape, miscalculating area and perimeter."
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,"In an irregular block, find the area of a composite shape made of squares and semicircles.",Ignoring the curved section when calculating area.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Geometry,What is the area if every square in a grid of 100 squares represents 1 square unit?,Multiplying instead of counting number of squares.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Counting Squares,Count the squares to find the area of the irregular shape.,Ignoring half or overlapping squares in the count.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Procedural Error,Calculate the area by counting full squares and parts.,Ignoring fractional or overlapping squares.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area and Perimeter of Irregular Shapes,"If each square is 1 square unit, find the area in squares.",Student counts partial squares as whole.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Misinterpretation,Count the squares for area and perimeter of the shape.,The scale is not aligned correctly leading to wrong calculations.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area and Perimeter,Find the area by counting squares for an L-shaped figure.,Ignoring the half-cells at the boundaries.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area and Perimeter,Calculate area and perimeter using square counting for an irregular figure like a cloud.,Treating squares as whole units without accounting for partial ones.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Perimeter and Area of Overlapping Shapes,"In a complex figure, find the total area of multiple overlapping regions.",Adding areas without considering overlapping parts.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Area and Perimeter of Irregular Shapes,Estimate the perimeter of an irregular shape with tension and identify areas for accuracy.,Ignoring details that help determine the correct path for the perimeter.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Conceptual,Is the dependent variable output total revenue or price per item?,Assuming directly proportional relationship means price is constant.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Algebraic Modeling,"Given a set of data, create an appropriate function to represent the relationship.",Student interpolates for data points outside the range.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Misconception,"Given y = x^2, what happens to y if x decreases?",Mistakenly assuming a direct proportional relationship.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Procedural,"If f(x) = x^2, find f(-3).",Confusing input x with the function f(x)
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Misconception,"Given f(x) = x^2, find f(2x).",Misinterpreting f(2x) as 2f(x)
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Conceptual Error,Differentiate y = x^2 with respect to x,Mistake occurs in conceptual understanding of the derivative of y = x^2
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Conceptual Error,"If y = 3x, what does the slope represent?",Misinterpreting the slope as the y-intercept.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Conceptual,What would the graph look like for y = 3x if there was a mistake in coding?,Passing the wrong value or mathematical function to plot the graph.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Conceptual Error,"If y = 3x, what happens to y if x is doubled?",Assuming y will also be doubled because it's a multiplication relationship.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Modeling,What does the y-intercept represent in this equation?,Assuming the y-intercept always represents a starting point in any context.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Conceptual Error,Is y = 2x a proportional relationship?,Drawing incorrect conclusions based on variable relationships.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Graphical Analysis,Graph the function y = x^2 - 4 and find local extrema.,Assuming the vertex is a minimum because it opens upward.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Algebraic Modeling,"If y = 2x represents the relationship between apples bought and cost, what does y intercept represent?",  <x> is the cost not the number of apples.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Procedural Error,"If f(x) = x^2, find f'(x).",Student finds f(x) = x^3 instead of f'(x) = 2x.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Conceptual Error,How is the rate of change related to the slope of a line?,Thinking the y-intercept is the rate of change.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Conceptual Understanding,What does it mean if the slope of a line is negative in a physical context?,Student struggles to interpret the meaning of the negative slope.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Graph Interpretation,"Given a graph of y = f(x), identify the x-intercepts and y-intercepts.","Assuming x-intercept as (0,0) without proper analysis."
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Conceptual,How do x and y change in y = 2x + 3 as x increases?,Student says y changes randomly.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Algebraic Modeling,"If y = 2x, what does it mean when x increases by 1?",y will still be 2 without any change.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Procedural,What is f(-x) for f(x) = x^2?,Student incorrectly negates x before squaring.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Linear Equation Application,A taxi company charges $5 as the flag-down rate and $2 per mile. Write the equation relating cost and distance using x for miles and y for cost.,The mistake is inserting x for cost and y for miles instead of y for cost and x for miles.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Conceptual,What does the slope represent in the equation y = 3x + 2?,The slope is x or y in the equation.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Procedural Conceptual Error,What are the x and y-intercepts of y = 2x + 5?,"Student confuses the y-intercept as (0, 2) instead of (0, 5)."
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Linear Algebraic Word Problem,"If a car rental agency charges $30 plus $0.20 per mile, find the total cost for x miles.",Mistaking the fixed cost for variable or vice versa.
K6,Algebra,Analyzing and using relationships between dependent and independent variables,Conceptual,"If y = 2x, and x is doubled, what happens to y?",Student believes y will stay the same.
